[07 Feb 17:43:46] AUDIT:Player Nerfyo has invalid skill Mana Pump (1565/6), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:46] AUDIT:Player Nerfyo has invalid skill Soul Roar (20006/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 19:28:59] AUDIT:Player GravieR has invalid skill Final Secret (917/1), class:Phantom Ranger, L2PcInstance:GravieR[268487827], BROADCAST
[08 Feb 19:26:26] AUDIT:Player Nerfyo has invalid skill Riposte Stance (340/1), class:Gladiator, L2PcInstance:Nerfyo[268486660], BROADCAST
[08 Feb 19:26:26] AUDIT:Player Nerfyo has invalid skill Sonic Rage (345/1), class:Gladiator, L2PcInstance:Nerfyo[268486660], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Robe Mastery (235/41), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Light Armor Mastery (236/41), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Armor Mastery (244/3), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Weapon Mastery (249/42), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Heavy Armor Mastery (259/33), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Heal (1011/18), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Cure Poison (1012/2), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Battle Heal (1015/15), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
[08 Feb 19:52:09] AUDIT:Player Neema has invalid skill Resurrection (1016/2), class:Doom Cryer, L2PcInstance:Neema[268488058], BROADCAST
